thread_id,board,keyword(s),main_theme,theme_confidence,tools_or_techniques,post_count
459830,gd,['ai tools'],ai media manipulation,0.29,,13
7649562,ic,"['deepfake', 'ai-generated']",ai media manipulation,0.71,"[{'tool': 'deepfake', 'category': 'video manipulation', 'description': 'Generates fake videos or impersonations'}, {'tool': 'midjourney', 'category': 'image generation', 'description': 'AI art & content creation tool'}, {'tool': 'chatgpt', 'category': 'LLM', 'description': 'General purpose AI chatbot by OpenAI'}]",182
8652445,h,['spam bot'],ai media manipulation,0.29,,465
8663849,h,['ai-generated'],ai media manipulation,0.29,"[{'tool': 'chatgpt', 'category': 'LLM', 'description': 'General purpose AI chatbot by OpenAI'}, {'tool': 'claude', 'category': 'LLM', 'description': ""Anthropic's AI assistant""}, {'tool': 'openai', 'category': 'organization', 'description': 'Developer of GPT models'}, {'tool': 'gemini', 'category': 'LLM', 'description': ""Google's upgraded Bard AI""}]",1194
12421995,s4s,['deepfake'],ai media manipulation,0.29,"[{'tool': 'deepfake', 'category': 'video manipulation', 'description': 'Generates fake videos or impersonations'}]",74
22953251,bant,"['ai tools', 'godmode']",ai media manipulation,0.86,"[{'tool': 'godmode', 'category': 'malicious LLM', 'description': 'Exploitation-focused AI assistant'}, {'tool': 'stablediffusion', 'category': 'image generation', 'description': 'AI image generator'}, {'tool': 'chatgpt', 'category': 'LLM', 'description': 'General purpose AI chatbot by OpenAI'}, {'tool': 'suno', 'category': 'audio generation', 'description': 'AI music creation tool'}, {'tool': 'grok', 'category': 'LLM', 'description': ""X/Twitter's AI chatbot""}]",169
34112219,soc,['deepfake'],ai media manipulation,0.57,"[{'tool': 'deepfake', 'category': 'video manipulation', 'description': 'Generates fake videos or impersonations'}]",61
34132324,soc,['deepfake'],ai social engineering,0.88,"[{'tool': 'deepfake', 'category': 'video manipulation', 'description': 'Generates fake videos or impersonations'}, {'tool': 'faceswap', 'category': 'image manipulation', 'description': 'AI-based face replacement tool'}]",450
42353451,mlp,['ai-generated'],ai media manipulation,0.43,"[{'tool': 'stablediffusion', 'category': 'image generation', 'description': 'AI image generator'}, {'tool': 'chatgpt', 'category': 'LLM', 'description': 'General purpose AI chatbot by OpenAI'}, {'tool': 'grok', 'category': 'LLM', 'description': ""X/Twitter's AI chatbot""}]",275
105984874,g,['ai-generated'],ai media manipulation,0.43,,348
